id;numero_demande_etab;nom_etab;type_etab;statut;email_etab;region;departement;commune;type_insp
1;Midi-Pyrénées Wooden;bypassing Account;CFP;Mixte;Tools;Kedougou;Bakel;Intelligent technologies;IA
2;b;Cambridgeshire Zambian;CFP;Public;Ball sticky Vaugirard;Diourbel;Dagana;multi-byte Home payment;IEF
3;Shirt empower;optical UIC-Franc;LyceeTechnique;Prive;Bedfordshire next-generation portals;Thies;Guediawaye;Cambridgeshire PNG;IEF
4;Health;transmitting Swiss;CFP;Mixte;object-oriented Soft;Diourbel;Diourbel;Profit-focused b eyeballs;IEF
5;de PNG;Slovénie HTTP;CFP;Mixte;SMS digital action-items;Louga;Kanel;bluetooth Practical;IA
6;Assimilated Cambridgeshire bandwidth;distributed;LyceeTechnique;Public;Home Games Account;Matam;Kolda;disintermediate;IEF
7;Fresh Table;overriding yellow plum;LyceeTechnique;Prive;payment Hat;Matam;Saint_Louis;Optimized;IEF
8;Realigned;hack;CFP;Mixte;Lepic;Diourbel;Mbour;b Specialiste Fish;IEF
9;card engine;Ball;LyceeTechnique;Mixte;auxiliary a indigo;Dakar;Dagana;brand bandwidth;IEF
10;Handcrafted synthesize back-end;Languedoc-Roussillon;LyceeTechnique;Public;auxiliary Directeur;Kaolack;Koungheul;Clothing;IA
