id;matricule_etab;nom_etab;type_etab;statut;email_etab;region;departement;commune;type_insp
1;support purple neural;edge Health Nam;CFP;Public;Corse;Louga;Kedougou;Wooden Basse-Normandie c;IEF
2;connecting;full-range Stagiaire;LyceeTechnique;Prive;Chicken de Bedfordshire;Kedougou;Kaolack;la bus purple;IEF
3;c Rustic;payment;LyceeTechnique;Prive;Account driver programming;Kolda;Koumpentoum;synthesizing;IEF
4;Sharable Avon;Soft visualize Paraguay;CFP;Public;Intelligent Rubber;Sedhiou;Gossas;XML efficient intuitive;IA
5;Cambodge;Fantastic;LyceeTechnique;Public;b;Fatick;Ziguinchor;FTP Pants;IA
6;Afghani Table;Bedfordshire Incredible Gorgeous;CFP;Mixte;bandwidth Frozen clear-thinking;Ziguinchor;Guinguineo;Steel;IA
7;Agent;strategy Savings;CFP;Mixte;Cheese;Louga;Dakar;Fresh;IA
8;b Brunei Buckinghamshire;Consultant withdrawal Account;CFP;Prive;multi-state JSON;Louga;Salemata;streamline;IA
9;AGP Russian;proactive;CFP;Prive;enhance Concrete orchid;Louga;Koumpentoum;Mauritanie;IEF
10;solid;Refined Books;LyceeTechnique;Public;ivory Auto;Kaolack;Ranerou;Synergistic partnerships c;IEF
